"industry_code","industry_title"
"311313","NAICS 311313 Beet sugar manufacturing"
"311314","NAICS 311314 Cane sugar manufacturing"
"31132","NAICS07 31132 Confectionery manufacturing from cacao beans"
"311320","NAICS07 311320 Confectionery manufacturing from cacao beans"
"31133","NAICS07 31133 Confectionery mfg. from purchased chocolate"
"311330","NAICS07 311330 Confectionery mfg. from purchased chocolate"
"31134","NAICS 31134 Nonchocolate confectionery manufacturing"
"311340","NAICS 311340 Nonchocolate confectionery manufacturing"
"31135","NAICS 31135 Chocolate and confectionery manufacturing"
"311351","NAICS 311351 Chocolate and confectionery manufacturing from cacao beans"
"311352","NAICS 311352 Confectionery manufacturing from purchased chocolate"
"3114","NAICS 3114 Fruit and vegetable preserving and specialty food manufacturing"
"31141","NAICS 31141 Frozen food manufacturing"
"311411","NAICS 311411 Frozen fruit, juice, and vegetable manufacturing"
"311412","NAICS 311412 Frozen specialty food manufacturing"
"31142","NAICS 31142 Fruit and vegetable canning, pickling, and drying"
"311421","NAICS 311421 Fruit and vegetable canning"
"311422","NAICS 311422 Specialty canning"
"311423","NAICS 311423 Dried and dehydrated food manufacturing"
"3115","NAICS 3115 Dairy product manufacturing"
"31151","NAICS 31151 Dairy product (except frozen) manufacturing"
"311511","NAICS 311511 Fluid milk manufacturing"
"311512","NAICS 311512 Creamery butter manufacturing"
"311513","NAICS 311513 Cheese manufacturing"
"311514","NAICS 311514 Dry, condensed, and evaporated dairy product manufacturing"
"31152","NAICS 31152 Ice cream and frozen dessert manufacturing"
"311520","NAICS 311520 Ice cream and frozen dessert manufacturing"
"3116","NAICS 3116 Animal slaughtering and processing"
"31161","NAICS 31161 Animal slaughtering and processing"
"311611","NAICS 311611 Animal (except poultry) slaughtering"
"311612","NAICS 311612 Meat processed from carcasses"
"311613","NAICS 311613 Rendering and meat byproduct processing"
"311615","NAICS 311615 Poultry processing"
"3117","NAICS 3117 Seafood product preparation and packaging"
"31171","NAICS 31171 Seafood product preparation and packaging"
"311710","NAICS 311710 Seafood product preparation and packaging"
"311711","NAICS07 311711 Seafood canning"
"311712","NAICS07 311712 Fresh and frozen seafood processing"
"3118","NAICS 3118 Bakeries and tortilla manufacturing"
"31181","NAICS 31181 Bread and bakery product manufacturing"
"311811","NAICS 311811 Retail bakeries"
"311812","NAICS 311812 Commercial bakeries"
"311813","NAICS 311813 Frozen cakes, pies, and other pastries manufacturing"
"31182","NAICS 31182 Cookie, cracker, and pasta manufacturing"
"311821","NAICS 311821 Cookie and cracker manufacturing"
"311822","NAICS07 311822 Mixes and dough made from purchased flour"
"311823","NAICS07 311823 Dry pasta manufacturing"
"311824","NAICS 311824 Dry pasta, dough, and flour mixes manufacturing from purchased flour"
"31183","NAICS 31183 Tortilla manufacturing"
"311830","NAICS 311830 Tortilla manufacturing"
"3119","NAICS 3119 Other food manufacturing"
"31191","NAICS 31191 Snack food manufacturing"
"311911","NAICS 311911 Roasted nuts and peanut butter manufacturing"
"311919","NAICS 311919 Other snack food manufacturing"
"31192","NAICS 31192 Coffee and tea manufacturing"
"311920","NAICS 311920 Coffee and tea manufacturing"
"31193","NAICS 31193 Flavoring syrup and concentrate manufacturing"
"311930","NAICS 311930 Flavoring syrup and concentrate manufacturing"
"31194","NAICS 31194 Seasoning and dressing manufacturing"
"311941","NAICS 311941 Mayonnaise, dressing, and other prepared sauce manufacturing"
"311942","NAICS 311942 Spice and extract manufacturing"
"31199","NAICS 31199 All other food manufacturing"
"311991","NAICS 311991 Perishable prepared food manufacturing"
"311999","NAICS 311999 All other miscellaneous food manufacturing"
"312","NAICS 312 Beverage and tobacco product manufacturing"
"3121","NAICS 3121 Beverage manufacturing"
"31211","NAICS 31211 Soft drink and ice manufacturing"
"312111","NAICS 312111 Soft drink manufacturing"
"312112","NAICS 312112 Bottled water manufacturing"
"312113","NAICS 312113 Ice manufacturing"
"31212","NAICS 31212 Breweries"
"312120","NAICS 312120 Breweries"
"31213","NAICS 31213 Wineries"
"312130","NAICS 312130 Wineries"
"31214","NAICS 31214 Distilleries"
"312140","NAICS 312140 Distilleries"
"3122","NAICS 3122 Tobacco manufacturing"
"31221","NAICS07 31221 Tobacco stemming and redrying"
"312210","NAICS07 312210 Tobacco stemming and redrying"
"31222","NAICS07 31222 Tobacco product manufacturing"
"312221","NAICS07 312221 Cigarette manufacturing"
"312229","NAICS07 312229 Other tobacco product manufacturing"
"31223","NAICS 31223 Tobacco manufacturing"
"312230","NAICS 312230 Tobacco manufacturing"
"313","NAICS 313 Textile mills"
"3131","NAICS 3131 Fiber, yarn, and thread mills"
"31311","NAICS 31311 Fiber, yarn, and thread mills"
"313110","NAICS 313110 Fiber, yarn, and thread mills"
"313111","NAICS07 313111 Yarn spinning mills"
"313112","NAICS07 313112 Yarn texturizing and twisting mills"
"313113","NAICS07 313113 Thread mills"
"3132","NAICS 3132 Fabric mills"
"31321","NAICS 31321 Broadwoven fabric mills"
"313210","NAICS 313210 Broadwoven fabric mills"
"31322","NAICS 31322 Narrow fabric mills and schiffli machine embroidery"
"313220","NAICS 313220 Narrow fabric mills and schiffli machine embroidery"
"313221","NAICS07 313221 Narrow fabric mills"
"313222","NAICS07 313222 Schiffli machine embroidery"
"31323","NAICS 31323 Nonwoven fabric mills"
"313230","NAICS 313230 Nonwoven fabric mills"
"31324","NAICS 31324 Knit fabric mills"
"313240","NAICS 313240 Knit fabric mills"
"313241","NAICS07 313241 Weft knit fabric mills"
"313249","NAICS07 313249 Other knit fabric and lace mills"
"3133","NAICS 3133 Textile and fabric finishing and fabric coating mills"
"31-33","NAICS 31-33 Manufacturing"
"31331","NAICS 31331 Textile and fabric finishing mills"
"313310","NAICS 313310 Textile and fabric finishing mills"
"313311","NAICS07 313311 Broadwoven fabric finishing mills"
"313312","NAICS07 313312 Other textile and fabric finishing mills"
"31332","NAICS 31332 Fabric coating mills"
"313320","NAICS 313320 Fabric coating mills"
"314","NAICS 314 Textile product mills"
"3141","NAICS 3141 Textile furnishings mills"
"31411","NAICS 31411 Carpet and rug mills"
"314110","NAICS 314110 Carpet and rug mills"
"31412","NAICS 31412 Curtain and linen mills"
"314120","NAICS 314120 Curtain and linen mills"
"314121","NAICS07 314121 Curtain and drapery mills"
"314129","NAICS07 314129 Other household textile product mills"
"3149","NAICS 3149 Other textile product mills"
"31491","NAICS 31491 Textile bag and canvas mills"
"314910","NAICS 314910 Textile bag and canvas mills"
"314911","NAICS07 314911 Textile bag mills"
"314912","NAICS07 314912 Canvas and related product mills"
"31499","NAICS 31499 All other textile product mills"
"314991","NAICS07 314991 Rope, cordage, and twine mills"
"314992","NAICS07 314992 Tire cord and tire fabric mills"
"314994","NAICS 314994 Rope, cordage, twine, tire cord, and tire fabric mills"
"314999","NAICS 314999 All other miscellaneous textile product mills"
"315","NAICS 315 Apparel manufacturing"
"3151","NAICS 3151 Apparel knitting mills"
"31511","NAICS17 31511 Hosiery and sock mills"
"315110","NAICS17 315110 Hosiery and sock mills"
"315111","NAICS07 315111 Sheer hosiery mills"
"315119","NAICS07 315119 Other hosiery and sock mills"
"31512","NAICS 31512 Apparel knitting mills"
"315120","NAICS 315120 Apparel knitting mills"
"31519","NAICS17 31519 Other apparel knitting mills"
"315190","NAICS17 315190 Other apparel knitting mills"
"315191","NAICS07 315191 Outerwear knitting mills"
"315192","NAICS07 315192 Underwear and nightwear knitting mills"
"3152","NAICS 3152 Cut and sew apparel manufacturing"
"31521","NAICS 31521 Cut and sew apparel contractors"
"315210","NAICS 315210 Cut and sew apparel contractors"
"315211","NAICS07 315211 Men's and boys' apparel contractors"
"315212","NAICS07 315212 Women's, girls', infants' apparel contractors"
"31522","NAICS17 31522 Men's and boys' cut and sew apparel mfg."
"315220","NAICS17 315220 Men's and boys' cut and sew apparel mfg."
"315221","NAICS07 315221 Men's and boys' underwear and nightwear mfg."
"315222","NAICS07 315222 Men's and boys' suit, coat, and overcoat mfg."
"315223","NAICS07 315223 Men's and boys' shirt, except work shirt, mfg."
"315224","NAICS07 315224 Men's and boys' pants, except work pants, mfg."
"315225","NAICS07 315225 Men's and boys' work clothing manufacturing"
"315228","NAICS07 315228 Other men's and boys' outerwear manufacturing"
"31523","NAICS07 31523 Women's and girls' cut and sew apparel mfg."
"315231","NAICS07 315231 Women's and girls' lingerie and nightwear mfg."
"315232","NAICS07 315232 Women's and girls' blouse and shirt mfg."
"315233","NAICS07 315233 Women's and girls' dress manufacturing"
"315234","NAICS07 315234 Women's and girls' suit, coat, and skirt mfg."
"315239","NAICS07 315239 Other women's and girls' outerwear mfg."
"31524","NAICS17 31524 Women's, girls', infants' cut-sew apparel mfg."
"315240","NAICS17 315240 Women's, girls', infants' cut-sew apparel mfg."
"31525","NAICS 31525 Cut and sew apparel manufacturing (except contractors)"
"315250","NAICS 315250 Cut and sew apparel manufacturing (except contractors)"
"31528","NAICS17 31528 Other cut and sew apparel manufacturing"
"315280","NAICS17 315280 Other cut and sew apparel manufacturing"
"31529","NAICS07 31529 Other cut and sew apparel manufacturing"
"315291","NAICS07 315291 Infants' cut and sew apparel manufacturing"
"315292","NAICS07 315292 Fur and leather apparel manufacturing"
"315299","NAICS07 315299 All other cut and sew apparel manufacturing"
"3159","NAICS 3159 Apparel accessories and other apparel manufacturing"
"31599","NAICS 31599 Apparel accessories and other apparel manufacturing"
"315990","NAICS 315990 Apparel accessories and other apparel manufacturing"
"315991","NAICS07 315991 Hat, cap, and millinery manufacturing"
"315992","NAICS07 315992 Glove and mitten manufacturing"
"315993","NAICS07 315993 Men's and boys' neckwear manufacturing"
"315999","NAICS07 315999 All other accessory and apparel manufacturing"
"316","NAICS 316 Leather and allied product manufacturing"
"3161","NAICS 3161 Leather and hide tanning and finishing"
"31611","NAICS 31611 Leather and hide tanning and finishing"
"316110","NAICS 316110 Leather and hide tanning and finishing"
"3162","NAICS 3162 Footwear manufacturing"
"31621","NAICS 31621 Footwear manufacturing"
"316210","NAICS 316210 Footwear manufacturing"
"316211","NAICS07 316211 Rubber and plastics footwear manufacturing"
"316212","NAICS07 316212 House slipper manufacturing"
"316213","NAICS07 316213 Men's nonathletic footwear manufacturing"
"316214","NAICS07 316214 Women's nonathletic footwear manufacturing"
"316219","NAICS07 316219 Other footwear manufacturing"
"3169","NAICS 3169 Other leather and allied product manufacturing"
"31699","NAICS 31699 Other leather and allied product manufacturing"
"316990","NAICS 316990 Other leather and allied product manufacturing"
"316991","NAICS07 316991 Luggage manufacturing"
"316992","NAICS17 316992 Women's handbag and purse manufacturing"
"316993","NAICS07 316993 Other personal leather good manufacturing"
"316998","NAICS17 316998 All other leather and allied good mfg."
"316999","NAICS07 316999 All other leather and allied good mfg."
"321","NAICS 321 Wood product manufacturing"
"3211","NAICS 3211 Sawmills and wood preservation"
"32111","NAICS 32111 Sawmills and wood preservation"
"321113","NAICS 321113 Sawmills"
"321114","NAICS 321114 Wood preservation"
"3212","NAICS 3212 Veneer, plywood, and engineered wood product manufacturing"
"32121","NAICS 32121 Veneer, plywood, and engineered wood product manufacturing"
"321211","NAICS 321211 Hardwood veneer and plywood manufacturing"
"321212","NAICS 321212 Softwood veneer and plywood manufacturing"
"321213","NAICS17 321213 Engineered wood member manufacturing"
"321214","NAICS17 321214 Truss manufacturing"
"321215","NAICS 321215 Engineered wood member manufacturing"
"321219","NAICS 321219 Reconstituted wood product manufacturing"
"3219","NAICS 3219 Other wood product manufacturing"
"32191","NAICS 32191 Millwork"
"321911","NAICS 321911 Wood window and door manufacturing"
"321912","NAICS 321912 Cut stock, resawing lumber, and planing"
"321918","NAICS 321918 Other millwork (including flooring)"
"32192","NAICS 32192 Wood container and pallet manufacturing"
"321920","NAICS 321920 Wood container and pallet manufacturing"
"32199","NAICS 32199 All other wood product manufacturing"
"321991","NAICS 321991 Manufactured home (mobile home) manufacturing"
